full_text,translated,klasifikasi,prediksi,sentiment
emang kampus unik lain nolak ruu tni lah ini malah kolaborasi ama tni wkwkwk,"Indeed, another unique campus refused the TNI Bill, even this collaboration with the TNI wkwkwk",Positif,Positif,TextBlob analysis used
bjir hesteknya ngalah ngalahin ruu tni makasssiiiiii pacarku paling cantik bohaaaay,"Bjir, the hestek defeated the TNI Bill Makassiiiiiii, my boyfriend was the most beautiful bohaaaay",Positif,Positif,TextBlob analysis used
sana korupsi dihukum mati sini boroboro malah dilindungi uu tni bentar ruu kuhap ruu polri dah gitu ngtidak maen ormasormasan sekarang udah fokus riset sini yaelah orang pinter malah disingkirin,"Sana corruption was sentenced to death here Boroboro was protected by the TNI Law for a while of the Criminal Code Bill, the National Police Draft Bill, so there was no mass organization, now it was focused on the research here.",Netral,Negatif,TextBlob analysis used
ony rony minta grok pakai bahasa banjar bahasa urang banjar kalimantan selatan bagian keluarga melayu diskusi asal ruu tni polri cepat disahkan mungkin agenda prabowo ada khawatir soal demokrasi ham,Ony Rony Asks Grok to Use Banjar Language Urang Banjar Language South Kalimantan Section The Malay Family Discussion Originally Discussion of the Indonesian TNI Bill Fast Probably Prabowo's agenda is worried about Human Rights Democracy,Netral,Positif,TextBlob analysis used
puas ruu tni ikan demo sakit jiwa,Satisfied with the TNI Fish Bill in Demo Pain,Negatif,Positif,TextBlob analysis used
eid mubarak everyone free palestine cabut uu tni amp tolak ruu polri rezim habis mati,Eid Mubarak Everyone Free Palestine Lugs the TNI Law Amp Rejects the National Police Chief of the Regional Police,Netral,Positif,TextBlob analysis used
mayoritas media cetak amp elektronik justru bisu soal demo ruu tni medsos cuma x yang ribut lagipula segitu mudahkah menakutnakuti masyarakat underestimate,"The majority of electronic print media actually mute about the demonstration of the Social Media Bill, only X, which is noisy, it's easy to frighten the underestimate community",Positif,Positif,TextBlob analysis used
bulan suci menjadi alasan untuk mengesahkan ruu tni polri bukan suatu kebetulan sebagian besar kita sedang menikmati indahnya beribadah sebagian besar kita tau negara sedang menuju kegelapan,The holy month is a reason to ratify the Indonesian National Police bill is not a coincidence that most of us are enjoying the beauty of worship most of us know the country is heading for darkness,Positif,Positif,TextBlob analysis used
ruu tni langkah nyata memperkuat negara memastikan tni memiliki dukungan penuh menjalankan tugas mulia,The TNI Bill is concrete steps to strengthen the state to ensure that the TNI has full support to carry out noble duties,Positif,Positif,TextBlob analysis used
biasalah pengalihan isu ruu tni,usually the transfer of the issue of the TNI Bill,Netral,Negatif,TextBlob analysis used
mendukung ruu tni pakai sembako survei pakai sembako benar kata pak,"Supports the TNI Bill using a survey grocery using the right groceries, sir",Positif,Positif,TextBlob analysis used
padahl mudik paling asik meski cape tp balik nya dpt duit darii sodara dikasi jajan bebas jajan apa aja bnyk temen,"Padahl Mudik is the most cool even though it is tired but it can get money from sodara to be given a free snack snack anyway, many friends",Negatif,Positif,TextBlob analysis used
mendistraksi bbm oplosan daya beli menurun gratifikasi skandal bumn pengesahan uu tni wacana ruu polri impunitas kejaksaan korupsi,Distributing BBM Oplosan of Purchasing Power Decreased Gretification of BUMN Scandal Ratification,Negatif,Positif,TextBlob analysis used
buat nentang ruu tni mungkin perlu berkiblat alm munir tingkatkan kesejahteraan prajurit sebagian besar anggota betulan miskin multifungsi bakal cuma nguntungin pejabatnya prajurit gitugitu aja makanya buat aksi tuntut profesionalitas tni,"For the TNI Bill, it may need to be ordered by Alm Munir to improve the welfare of the soldiers, most of the Multifunctional Poor Members will only be fortunate for the officials of the soldiers, so for the action of demanding the professionalism of the TNI",Negatif,Positif,TextBlob analysis used
hidup jokowi ndasmuruu tni kebut semalamdia sendiri memancing lu jd presiden berdiri dikaki lu sendiri jangan bergantung orang presiden macam apa cuma ngebacot podium podium makan tuh asing si thaksin jd pengurus hahahah,"Life Jokowi Ndasmuruu TNI Needs Last Night himself provoked Lu so the president stands on your own fetter, don't depend on what kind of president, what kind of podium podium eating is a foreign podium, the hahahah management",Netral,Negatif,TextBlob analysis used
mending suruh diem dulu semua fokus ruu tni ga usah nyempil barisan memang berjuang sipil rakyat bukan kepentingan oranganisasi pribadi,"It's better to tell you to stay quiet first, all the focus of the TNI Bill does not need to storm the ranks of the people's civil struggle not the interests of private individualization",Negatif,Positif,TextBlob analysis used
semua jadi satu ruu tni merebut apapun kita bahkan hak kebebasan kalian,"All became a TNI Bill to seize whatever we are, the right to your freedom",Positif,Positif,TextBlob analysis used
ruu tni indonesia sesemakin percaya tni tetap menjadi garda terdepan menjaga kedaulatan negara perdamaian dunia,The Indonesian TNI Bill is as much as believes that the TNI remains the frontline of maintaining the sovereignty of the world peace state,Negatif,Positif,TextBlob analysis used
buzzer dukung ruu tni tuh kak waktu tempat dipersilahkan,"Buzzer supports the TNI Bill, Sis, when it is welcome",Netral,Positif,TextBlob analysis used
ruu tni kasus ridwan kamil semuanya dilakukan mengelabui korupsi pertamina korupsi lainnya pasti terinspirasi zaman presiden sebelumnya ada kasus besar dibuatlah masalah baru mengalihkan isu,TNI Bill The Ridwan Kamil case was all done to trick Pertamina's corruption other corruption must be inspired by the previous president,Positif,Positif,TextBlob analysis used
lucu kocak,funny funny,Netral,Positif,TextBlob analysis used
marahin tidak kan bukan salah gw relapse bukan karna,"Angry isn't my fault, I'm not wrong because",Positif,Negatif,TextBlob analysis used
sendiri malah awalnya mikir kalauo sbagai penambah bumbu aja isu malah nambah ngingetin bikin mikir ruu tni abis liat isu di sahkannya ruu tni malah semakin masuk akal wkw,"itself even initially thought that if the spice enhancer just the issue actually added to remind you of thinking about the TNI Bill after I saw the issue of the TNI Bill, even more reasonable",Netral,Positif,TextBlob analysis used
lebaran tahun sulit sekali rasanya awal bulan dikejutkan sama banjir kemudian ruu tni teror kepala babi tikus terptidakalau tempo setelahnya arogansi polisi tentara massa aksi ihsg jeblok dollar semakin mahal ferry irwandi kalem,Eid Years It is very difficult to feel the beginning of the month with the flood and then the TNI Terror Bill the head of a mouse pork is an unwilling time if the arrogance of the police army is the action of the IHSG Dollar.,Negatif,Negatif,TextBlob analysis used
apa hubungannya ruu tni sama pendukung pada nyalahin kalian sadar kalau buat ruu tni semua fraksi dpr baik semua ikut terlibat itu udah jelas partai padaip kubunya bapak anies itu ada partai,"what is the relationship between the TNI Bill and supporters to blame you, realize that for the TNI Bill all the DPR factions are all involved, all of them are clearly the party at the camp, Mr. Anies, there is a party",Positif,Negatif,TextBlob analysis used
arti sebaliknya hakikatnya mrk jg tdk mendukung ruu tni tentu jg mrk paham arti tanda tangan bisa jd ttd dianggap tanda trm bingkisan mereka trm logika lebih mudah mrk tangkap logika blt sejenis nya lebih mudah dicerna amp perlu orasi,"the meaning of the opposite is essentially they also do not support the TNI Bill, of course they also understand the meaning of signatures can be considered signs that their gifts are more easily captured logic, the logic is more easily digested.",Netral,Positif,TextBlob analysis used
kompas tv media pemerintah mengalihkan isu ruu tni soal nya publik paling demen sama berita piblik figur selingkuh,KOMPAS TV Government Media diverted the issue of the TNI Bill about the most public with the news of Piblik Figur Cheating,Positif,Positif,TextBlob analysis used
udahlah intinya kecam ruu tni semoga indonesia bubar pas buka puasa aamiin,"the point is the tni bill, hopefully Indonesia will disperse when breaking the fast aamiin",Positif,Positif,TextBlob analysis used
baca gini trus bbrp skroll sebelumnya video pengumpulan tanda tangan warga jakbar mendukung ruu tni habis ttd diberi paket sembako antri ttd panjang banget,"Read this, then the previous SKROLL video collection video of West Jakarta residents supported the TNI Bill, which was given a packet of queuing for a very long queuing",Netral,Negatif,TextBlob analysis used
padahal enakan diskusi publik sama mahasewa demo kmrn nih bahas ruu tni ngapaian segala anak kecil kang ojol ikut jir gajelas bgy pamarentahh,"Even though it is good for public discussions with the same demonstration, discussing the TNI Bill in the Achievement of all the little children Kang Ojol joined the grade of BGY Pamarentahh",Negatif,Negatif,TextBlob analysis used
selamat lebaran eskiiiii maafkan me kalau berbuat salah selamat lebaran ruu tni,"Congratulations Eid Eskiiiiii forgive me if you do wrong, congratulations on the Eid TNI Bill",Positif,Positif,TextBlob analysis used
ramadan udah mau habis bau busuk pemerintah polisi dpr semakin menyengat ruu tni disahkan ruu polri udah depan mata negara semakin absurd,Ramadan already wants to run out of foul smell of the DPR Police Government increasingly stinging the TNI Bill to be passed,Netral,Negatif,TextBlob analysis used
uu tni di sahkan terlanjur ruu lain antre beranikah bersikap memihak kepentingan rakyat berharap membuat bangga bu mega bung karno,The TNI Law was approved by the other Bill in line with the marriage to be in favor of the interests of the people hoping to make Mrs. Mega Bung Karno proud,Positif,Positif,TextBlob analysis used
grok apa analisamu kedepan ruu tni disahkan dampak negatifnya,grok what your analysis in the future of the TNI Bill is approved by the negative impact,Negatif,Positif,TextBlob analysis used
hai pemerintahan ngesahin ruu tni,"Hi, the government is rewarding the TNI Bill",Positif,Positif,TextBlob analysis used
bru uu tni jing gmn nnt ruu polri memang susah kalo kampus udah dikuasi regime forever,"Bru Law of the TNI Jing, how is the National Police Bill, it is difficult if the campus has been controlled by the regime forever",Positif,Negatif,TextBlob analysis used
melalui ruu tni indonesia terus berkembang stabilitas terjamin tni siap menghadapinya,through the Indonesian TNI Bill continues to develop stability guaranteed by the TNI ready to face it,Positif,Positif,TextBlob analysis used
ronde kedua warga bandung turun kejalan tolak ruu tni,The second round of Bandung residents down the TNI TNI Bill,Positif,Negatif,TextBlob analysis used
hi all since akun aku fokuskan naikin engagement pergerakan tolak ruu tni polri n kejaksaan id like to kindly invite my moots to join me at karenaa aku akan banyak hype riize comeback disanaa heheh feel free to bubunfolmute me in this acc yaa,hi all since my account focuses on riding the engagement of the movement to reject the Indonesian National Police and prosecutors' prosecutors like invite my moots to join me at because I will be a lot of hype riize comeback there heheh feel free to bubunfolmute me in this acc.,Netral,Positif,TextBlob analysis used
lu mau nyapnyap ruu tnipolri aman kok sepertik gimana kalau cara lu sepertik begini justru malah membuktikan ketidakpercayaan orang,"You want to sweep the Tnipolri Bill, it's safe, how about you what if you are like this, it actually proves people's distrust",Negatif,Positif,TextBlob analysis used
berharihari buzzer rezim menuduh mahasiswa demo tolak ruu tni adalah mahasewa hari mereka sadar memperlihatkan kelompok mendukung uu tni lah massa bayaran bayarnya pake sembako sdh penipu beleng,For days the buzzer regime accused students of the Demo of the TNI Bill of the TNI Bill to be a Mahasewa Day they realized showing the group of supporting the TNI Law was the mass of payment of paying using groceries.,Netral,Positif,TextBlob analysis used
liat depan aja jangan liat masa lalu,"Just look at the front, don't see the past",Netral,Positif,TextBlob analysis used
ada kemungkinan hasil survei berubah peristiwa protes indonesia gelap tolak ruu tni survei maret puas mungkin mencerminkan dampak protes besar maret uu tni pemotongan anggaran ketidakpuasan publik menurunkan,There is a possibility that the results of the survey changed the events of the Indonesian Dark Protest Reject the March Survey Bill Patterily Reflecting the impact of the March Protest March of the TNI Law Cutting the Budget of Public Disappointment,Positif,Negatif,TextBlob analysis used
wis ono bagian dewe ono sing fokus ruu tni ono sing fokus buna teddy aku tak fokus nang aniani pak rk iki lebih seru,Wis Ono Dewe Sing Sing Focus TNI Bill Ono Sing Focus Buna Teddy I am not focused Nang Aniani Pak RK Iki is more exciting,Netral,Positif,TextBlob analysis used
dukung ruu tni ky bakal kecipratan enaknya aja,Support the TNI Bill KY will be sprayed just delicious,Positif,Positif,TextBlob analysis used
sorry to say sering lihat postingan di x related keresahan dialami masyarakat akhir akhir timbul kesan tidak peka ketua dpr demo demo marak disemua daerah menentang pemberlakuan ruu tni saran jangan asal posting,"Sorry to say often see posts on x related unrest experienced by the end of the end of the end arises an insensitive impression of the DPR Speaker Demo Demo is rife in all regions against the enactment of the TNI Bill, Suggestions Do not just post",Netral,Positif,TextBlob analysis used
ruu tni ditolak sembako bertindak itung itung ngabisin dana kaget buat kasih teh aer pencinta bansos semoga tidak kejadian penolakan ruu kejaksaan eid mubarak selamat hari raya idul fitri syawal,"The TNI Bill was rejected by the groceries to act, it took the fund to be shocked to love the tea aer lovers of the social assistance, hopefully the rejection of the Prosecutor's Office Eid Mubarak Happy Eid al -Fitr Syawal",Positif,Positif,TextBlob analysis used
tentara bahkan ngetwit bebas tentara ngetwit beginian mah langsung dicari pm tolak ruu tni ruu polri semua ruu pasti uu tolol semua pembuatnya jg tolol menghasilkan tolol tolol,"The army even tweeted the free army, this is immediately sought by the PM TNI TNI Bill, all the Bill, the Bill must be a stupid law.",Netral,Negatif,TextBlob analysis used
masyarakat magelang gelar aksi damai alunalun dukung penuh ruu tni,Magelang community degrees the Alunalun peaceful action fully supported the TNI Bill,Positif,Positif,TextBlob analysis used
ruu tni bukti negara peduli keberlanjutan keamanan pertahanan kuat seluruh rakyat indonesia,TNI Bill Proof of State Care for the Sustainability of Strong Defense Security All Indonesian people,Positif,Positif,TextBlob analysis used
ruu tni keputusan tepat memastikan indonesia tetap aman stabil peran aktif tni menjaga tanah air,TNI Bill The Right Decision Ensures that Indonesia remains safe for the active role of the TNI to protect the motherland,Netral,Positif,TextBlob analysis used
sepolos orang lu bela pengusulan pembahasan ruu tni prolegnas prioritas didasarkan surat presiden ri nomor tertanggal februari persetujuan ruu tersebut resmi menjadi usulan inisiatif pemerintah dibaca,as innocent as the LU Defendant to Prioritize the Priority Prolegnas TNI Bill Based on the Republic of Indonesia Presidential Letter Date February the Approval of the Bill was officially a proposed government initiative to be read,Negatif,Positif,TextBlob analysis used
gw kira orang bego cuma di tiktok,I thought I was just a stupid person in Tiktok,Negatif,Negatif,TextBlob analysis used
adanya ruu tni sesemakin yakin indonesia terus aman stabil sistem pertahanan lebih kuat,The existence of the TNI Bill is as sure as Indonesia continues to be safe to stable the defense system to be stronger,Netral,Positif,TextBlob analysis used
mendukung ruu tni bertujuan utk menguatkan tni pertahanan negara tni harus kuat selalu dukung utk menghabisi pki direzim lalu diberi panggung dipelihara dibesarkan,Supporting the TNI Bill aims to strengthen the TNI National Defense TNI must always support to kill the PKI Diezim and then be given a stage to be raised,Positif,Positif,TextBlob analysis used
rakyat cerdas terbukti sampai rakyat turun demo anti uu tni ruu polri,The intelligent people are proven until the people down the anti -TNI Law Demo Demo,Positif,Positif,TextBlob analysis used
ruu tni langkah tepat memastikan tni menjaga keutuhan kedamaian indonesia masa depan,The TNI Bill is the right step to ensure that the TNI maintains the integrity of Indonesia's future peace,Netral,Positif,TextBlob analysis used
ruu tni langkah maju memperkuat indonesia tetap aman damai stabil dukungan penuh tni,TNI Bill step forward to strengthen Indonesia remain safe peaceful stable support of the TNI,Netral,Positif,TextBlob analysis used
yaudalah nikmati aja lah ruu tni sudah protes segimanapun ga didenger kok,"yaudalah just enjoy the TNI Bill, he has protested as much",Netral,Positif,TextBlob analysis used
lu bayangin baru uu tni di sahkan udah gini orang vocal gimana tambah ruu polri,"You only imagined that the TNI Law was approved like this, how do this vocal person more.",Netral,Positif,TextBlob analysis used
demo ruu tni pandangan tewol,Demo of the TNI Draft Bill Killed,Netral,Negatif,TextBlob analysis used
wah parah anjir buzzer cari orang buat masyakarat buat bayar mareka dukung ruu tni buzzer cair uang nya,"wow, the buzzer is looking for people to make the community to pay for markea supporting the TNI Bill Buzzer Liquid Money",Netral,Positif,TextBlob analysis used
melalui ruu tni memperkuat kapasitas tni mereka melindungi indonesia lebih baik siap menghadapi tantangan,through the TNI Bill strengthens the capacity of their TNI to protect Indonesia better ready to face challenges,Negatif,Positif,TextBlob analysis used
melalui ruu tni memberikan dukungan penuh tni menjalankan tugas untuk menjaga tanah air lebih baik,through the TNI Bill provides full support of the TNI to carry out the task to keep the homeland better,Positif,Positif,TextBlob analysis used
dg disahkanya ruu tni digunain sm kepentingan mrk dpr kotor korup spy lebih leluasa kewenangan kebebasanya buat bertindak bekingan sah mrk jd gabisa ditangkep mau korup sebanyak apapun dan apapun,"by passing the TNI Bill, it was used by the interests of MRK the DPR Dirty Corruption SPY is more free",Netral,Positif,TextBlob analysis used
teringat betapa susah beratnya mengurus visa uk antri lama banget imigrasi london,Remembering how difficult it is hard to take care of the visa UK queued for a long time London immigration,Negatif,Negatif,TextBlob analysis used
woy twt down,woy twt down,Positif,Positif,TextBlob analysis used
gapapa oke aja gw makanya gw misuh,"It's okay, that's why I'm so my erah",Positif,Positif,TextBlob analysis used
kalau terjadi penyerangan pembunuhan tni turun melakukan tindakan represif pemerintah menggunakan kejadian tersebut justifikasi uu tni ruu polri kebaca lah mainan pemerintah indo,If there is an attack on the TNI murder going down to carry out repressive actions the government uses this incident justification,Positif,Positif,TextBlob analysis used
gw mau tanya apa sikap bang andian padaip mendukung ruu tnihingga sahkan dgcara sembunyi bahasnya ruu tni,I want to ask what Bang Andian's attitude in supporting the TNAHA Bill until the way to hide the TNI Bill,Netral,Positif,TextBlob analysis used
tidak setuju prabowo dilengserkan menyetujui ruu tni ruu polri tugas konstitusionalnya tidak bukti pelanggaran hukum menggulingkannya publik memang protes keras soal perluasan kuasa militer polisi ini lebih isu politik,"Disagree Prabowo was deposed to approve the TNI Bill of the National Police Bill, his constitutional duties did not evidence of violation of the law overthrowing the public indeed protested strongly about the expansion of the police military power of power more political issues",Netral,Positif,TextBlob analysis used
emang rame banget kalo soal ruu tni,it's really crowded when it comes to the TNI Bill,Negatif,Positif,TextBlob analysis used
ruu tni ga cukup kuat membuat turun dom,The TNI Bill is not strong enough to make it down Dom,Positif,Positif,TextBlob analysis used
bener tadi sempet ga postingan mengenai ruu tni,"Really, I didn't post about the TNI Bill",Negatif,Positif,TextBlob analysis used
ruu tni bangsa bentuk komitmen dalam menjaga keutuhan negara memastikan masa depan indonesia lebih baik,TNI National Bill The form of commitment in maintaining the integrity of the state ensures that Indonesia's future is better,Netral,Positif,TextBlob analysis used
serangan dilakukan terus menerus sesemakin brutal banyak masyarakat perhatiannya mulai tertutup kasus terus terjadi negeri mulai kasus minyakita ruu tni korupsi masih banyak,The attack was carried out continuously as brutal as many people of his attention began to be closed the case continued to occur in the case,Negatif,Negatif,TextBlob analysis used
mengajak pendukung ruu tni maaf,invite supporters of the TNI Bill to Sorry,Positif,Negatif,TextBlob analysis used
jujur aku paham keluarga besar ku malah setuju sama ruu tni kekk,honestly I understand my extended family instead agree with the Kekk TNI Bill,Positif,Positif,TextBlob analysis used
lucu sih voters padaip padaip turut andil mengesahkan ruu tni,funny voters on theip on the diplip contribute to passing the TNI Bill,Netral,Positif,TextBlob analysis used
ruu tni langkah besar memastikan indonesia terus aman damai adanya peran besar tni belakangnya,The TNI Bill is a big step in ensuring that Indonesia continues to be safe peace,Netral,Positif,TextBlob analysis used
pgn banget ak deh meet up sama baniz sm,"really, I will meet up with baniz sm",Netral,Positif,TextBlob analysis used
ruu tni indonesia sesemakin yakin tni terus menjaga tanah air penuh dedikasi tanggung jawab,The Indonesian TNI Bill is sure to be sure that the TNI continues to keep the homeland full,Netral,Positif,TextBlob analysis used
prof mahfud md anggap revisi uu tni fair dukung bersama ruu tni,Prof. Mahfud MD Considering the revision of the TNI Fair Law to support together,Negatif,Positif,TextBlob analysis used
ruu tni sesemakin yakin indonesia selalu aman terlindungi tni memiliki kekuatan terbaik,The TNI Bill is sure that Indonesia is always safe to protect the TNI having the best strength,Netral,Positif,TextBlob analysis used
dukung bersama ruu tni memperkuat rasa cinta tanah air kebanggaan nasional sebagai simbol kekuatan bangsa menjaga keamanan kedaulatan negara perdamaian,Supporting with the TNI Bill to strengthen the love of the homeland of national pride as a symbol of the nation's power to maintain the security of the sovereignty of the peace state,Positif,Positif,TextBlob analysis used
dituntut suruh batalin ruu tni susah giliran kesusahan masalah finansial mintanya rakyat shame on you,demanded to be told to cancel the TNI Bill Difficult to turn to the difficulty of financial problems asking for the people of Shame on You,Positif,Negatif,TextBlob analysis used
,,Positif,,
,,Positif,,
,,Positif,,
,,Netral,,
,,Netral,,
,,Positif,,
,,Netral,,
,,Netral,,
,,Positif,,
,,Netral,,
,,Netral,,
,,Netral,,
,,Netral,,
,,Netral,,
,,Positif,,
,,Negatif,,
,,Netral,,
,,Netral,,
,,Positif,,
,,Netral,,
,,Negatif,,
,,Positif,,
,,Netral,,
,,Negatif,,
,,Positif,,
,,Netral,,
,,Positif,,
,,Negatif,,
,,Netral,,
,,Positif,,
,,Netral,,
,,Netral,,
,,Positif,,
,,Negatif,,
,,Positif,,
,,Netral,,
,,Positif,,
,,Positif,,
,,Positif,,
,,Negatif,,
,,Positif,,
,,Netral,,
,,Netral,,
,,Netral,,
,,Netral,,
,,Negatif,,
,,Positif,,
,,Netral,,
,,Positif,,
,,Positif,,
,,Netral,,
,,Negatif,,
,,Positif,,
,,Positif,,
,,Netral,,
,,Positif,,
,,Positif,,
,,Netral,,
,,Netral,,
,,Netral,,
,,Netral,,
,,Positif,,
,,Netral,,
,,Negatif,,
,,Netral,,
,,Netral,,
,,Positif,,
,,Netral,,
,,Netral,,
,,Netral,,
,,Positif,,
,,Netral,,
,,Netral,,
,,Netral,,
,,Positif,,
,,Negatif,,
,,Netral,,
,,Netral,,
,,Netral,,
,,Netral,,
,,Positif,,
,,Negatif,,
,,Positif,,
,,Netral,,
,,Positif,,
,,Netral,,
,,Negatif,,
,,Positif,,
,,Netral,,
,,Positif,,
,,Negatif,,
,,Positif,,
,,Positif,,
,,Netral,,
,,Negatif,,
,,Positif,,
,,Positif,,
,,Positif,,
,,Netral,,
,,Netral,,
,,Netral,,
,,Netral,,
,,Positif,,
,,Netral,,
,,Netral,,
,,Netral,,
,,Netral,,
,,Netral,,
,,Netral,,
,,Netral,,
,,Negatif,,
,,Negatif,,
,,Netral,,
,,Positif,,
,,Positif,,
,,Netral,,
,,Netral,,
,,Netral,,
,,Netral,,
,,Negatif,,
,,Netral,,
,,Netral,,
,,Negatif,,
,,Positif,,
,,Negatif,,
,,Positif,,
,,Netral,,
,,Negatif,,
,,Positif,,
,,Negatif,,
,,Negatif,,
,,Positif,,
,,Netral,,
,,Netral,,
,,Netral,,
,,Positif,,
,,Netral,,
,,Positif,,
,,Netral,,
,,Positif,,
,,Netral,,
,,Negatif,,
,,Netral,,
,,Netral,,
,,Negatif,,
,,Netral,,
,,Netral,,
,,Netral,,
,,Positif,,
,,Positif,,
,,Negatif,,
,,Positif,,
,,Negatif,,
,,Positif,,
,,Positif,,
,,Positif,,
,,Positif,,
,,Negatif,,
,,Netral,,
,,Positif,,
,,Netral,,
,,Positif,,
,,Positif,,
,,Netral,,
,,Netral,,
,,Netral,,
,,Netral,,
,,Negatif,,
,,Netral,,
,,Netral,,
,,Netral,,
,,Negatif,,
,,Negatif,,
,,Netral,,
,,Positif,,
,,Positif,,
,,Positif,,
,,Positif,,
,,Positif,,
,,Negatif,,
,,Netral,,
,,Positif,,
,,Positif,,
,,Positif,,
,,Netral,,
,,Positif,,
,,Positif,,
,,Negatif,,
,,Negatif,,
,,Positif,,
,,Positif,,
,,Positif,,
,,Positif,,
,,Negatif,,
,,Negatif,,
,,Negatif,,
,,Positif,,
,,Netral,,
,,Netral,,
,,Netral,,
,,Negatif,,
,,Negatif,,
,,Positif,,
,,Positif,,
,,Netral,,
,,Positif,,
,,Negatif,,
,,Negatif,,
,,Netral,,
,,Positif,,
,,Positif,,
,,Positif,,
,,Netral,,
,,Negatif,,
,,Positif,,
,,Positif,,
,,Negatif,,
,,Positif,,
,,Positif,,
,,Negatif,,
,,Netral,,
,,Netral,,
,,Netral,,
,,Positif,,
,,Positif,,
,,Positif,,
,,Netral,,
,,Netral,,
,,Negatif,,
,,Netral,,
,,Netral,,
,,Positif,,
,,Netral,,
,,Negatif,,
,,Netral,,
,,Netral,,
,,Negatif,,
,,Netral,,
,,Netral,,
,,Positif,,
,,Negatif,,
,,Netral,,
,,Netral,,
,,Positif,,
,,Negatif,,
,,Positif,,
,,Positif,,
,,Positif,,
,,Netral,,
,,Positif,,
,,Netral,,
,,Netral,,
,,Netral,,
,,Netral,,
,,Negatif,,
,,Positif,,
,,Positif,,
,,Positif,,
,,Positif,,
,,Positif,,
,,Negatif,,
,,Positif,,
,,Netral,,
,,Netral,,
,,Netral,,
,,Positif,,
,,Netral,,
,,Netral,,
,,Netral,,
,,Positif,,
,,Negatif,,
,,Netral,,
,,Negatif,,
,,Positif,,
,,Positif,,
,,Negatif,,
,,Positif,,
,,Positif,,
,,Positif,,
